"","original","bias","std. error","min. c.i.","max. c.i."
"X12",0.113687825310702,-0.00438004467284435,0.0656658955253875,0.00576671570332811,0.239869857550506
"X13",0.0466856100442389,0.0110244059631581,0.0557190767967147,-0.0474969006485839,0.151395828835133
"X14",-0.0603761855017189,-0.00394673082071738,0.0612392019325542,-0.161922327468075,0.0802440174300976
"X15",-0.0138761795899841,0.00469036658704071,0.0556961556947697,-0.116762339741972,0.0799513351181691
"X23",-0.000974378463744513,-0.00760906937678192,0.107155486781479,-0.170268803193885,0.174057024193118
"X24",-0.0165017828542154,-0.0085596863127214,0.0761496066640408,-0.148170458365413,0.098029003768039
"X25",-0.133216212003341,0.00375259931754574,0.0963799442140993,-0.316735459138257,0.00841328002237935
"X34",-0.0670621935753801,-0.00384394919307551,0.0916361274908284,-0.257297993101585,0.0991958789864615
"X35",-0.0523465832774861,-0.00103736057787403,0.07592234917145,-0.194568163121359,0.0858129595121033
"X45",-0.00931307682628446,-0.00921470339724495,0.0899298217835556,-0.161394974679849,0.164707701813767
